Ano,NomeUF,NomeMunicipio,Impostos,PIB,Populacao,PIBperCapita
2011,São Paulo,Monte Castelo,1778.3870000000002,58633.507000000005,4062,14434.64
2011,São Paulo,Monteiro Lobato,2696.3990000000003,38905026,4159,9354.42
2011,São Paulo,Monte Mor,483362612,2312968598,49841,46406.95
2011,São Paulo,Morro Agudo,60687745,816787859,29400,27781.9
2011,São Paulo,Morungaba,59296903,352524.00899999996,11912,29594.02
2011,São Paulo,Motuca,1844465,73058474,4323,16899.95
2011,São Paulo,Murutinga do Sul,1541.37,45989372,4203,10942.03
2011,São Paulo,Nantes,-171308,58840.73,2741,21466.88
2011,São Paulo,Narandiba,6083505,156104479,4330,36051.84
2011,São Paulo,Natividade da Serra,1581.1029999999998,49821602,6657,7484.09
2011,São Paulo,Nazaré Paulista,25092.93,215133.14399999997,16568,12984.86
2011,São Paulo,Neves Paulista,10180558,153480.78699999998,8762,17516.64
2011,São Paulo,Nhandeara,12895655,215443.39899999998,10766,20011.46
2011,São Paulo,Nipoã,3808237,74487506,4352,17115.7
2011,São Paulo,Nova Aliança,3474.9570000000003,78592894,5978,13147.02
2011,São Paulo,Nova Campina,20576203,304795195,8609,35404.25
2011,São Paulo,Nova Canaã Paulista,212704,24291815,2086,11645.17
2011,São Paulo,Nova Castilho,72.13,30502506,1136,26850.8
2011,São Paulo,Nova Europa,16652517,192745.03100000002,9453,20389.83
2011,São Paulo,Nova Granada,10545.473999999998,229326557,19346,11853.95
2011,São Paulo,Nova Guataporanga,614.6990000000001,17626784,2184,8070.87
2011,São Paulo,Nova Independência,3053968,72347.96,3146,22996.81
2011,São Paulo,Novais,869.68,44961.78,4697,9572.45
2011,São Paulo,Nova Luzitânia,856.02,30948.912999999997,3495,8855.2
2011,São Paulo,Nova Odessa,286197061,1828878.1230000001,51946,35207.29
2011,São Paulo,Novo Horizonte,47907834,646342.6529999999,36913,17509.89
2011,São Paulo,Nuporanga,29533389,351457245,6856,51262.73
2011,São Paulo,Ocauçu,2138306,50884894,4163,12223.13
2011,São Paulo,Óleo,-672.97,35417.7,2649,13370.22
2011,São Paulo,Olímpia,179377771,1285093118,50332,25532.33
2011,São Paulo,Onda Verde,11761.103000000001,127265712,3921,32457.46
2011,São Paulo,Oriente,4395.8279999999995,63416301,6120,10362.14
2011,São Paulo,Orindiúva,43238.14,280907958,5792,48499.3
2011,São Paulo,Orlândia,159435926,1152303.5890000002,40071,28756.55
2011,São Paulo,Osasco,9974582737,47614554.451000005,667826,71297.84
2011,São Paulo,Oscar Bressane,1711579,40837664,2536,16103.18
2011,São Paulo,Osvaldo Cruz,63835.72,667006.65,31015,21505.94
2011,São Paulo,Ourinhos,197659237,1997483523,103739,19254.89
2011,São Paulo,Ouroeste,16272.88,193368.24300000002,8568,22568.66
2011,São Paulo,Ouro Verde,3528.3379999999997,76686188,7851,9767.7
2011,São Paulo,Pacaembu,6393158,128364994,13281,9665.31
2011,São Paulo,Palestina,9505.646999999999,204454.98899999997,11201,18253.28
2011,São Paulo,Palmares Paulista,4396972,83401.12299999999,11126,7496.06
2011,São Paulo,Palmeira d'Oeste,3628695,106481.69,9528,11175.66
2011,São Paulo,Palmital,35659358,436704.89200000005,21224,20575.99
2011,São Paulo,Panorama,13239.58,190649342,14655,13009.17
2011,São Paulo,Paraguaçu Paulista,68082.49900000001,845382.3640000001,42483,19899.31
